hpRemaining: 4.1 (5.820461990063827)
monstersKilled: 4.6 (0.5163977794943222)
treasuresCollected: 1.5 (0.5270462766947299)
potionsDrunk: 0.6 (0.5163977794943223)
actionsTaken: 18.4 (4.993328882953069)
tilesExplored: 18.4 (4.993328882953069)
timesCompleted: 5
timesDied: 5
timesUncompleted: 0

hpRemaining;14.0;0.0;0.0;0.0;0.0;1.0;4.0;14.0;8.0;0.0;
monstersKilled;5.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;
treasuresCollected;2.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;
potionsDrunk;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;
actionsTaken;23.0;13.0;13.0;13.0;13.0;23.0;23.0;23.0;23.0;17.0;
tilesExplored;23.0;13.0;13.0;13.0;13.0;23.0;23.0;23.0;23.0;17.0;

