hpRemaining: 21.9 (3.9001424475410014)
monstersKilled: 2.0 (0.0)
treasuresCollected: 1.0 (0.0)
potionsDrunk: 0.0 (0.0)
actionsTaken: 16.0 (0.0)
tilesExplored: 16.0 (0.0)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;20.0;23.0;25.0;16.0;23.0;23.0;18.0;30.0;20.0;21.0;
monstersKilled;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;
treasuresCollected;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;
tilesExplored;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;

