hpRemaining: 11.2 (5.00666222813829)
monstersKilled: 3.0 (0.0)
treasuresCollected: 0.0 (0.0)
potionsDrunk: 0.0 (0.0)
actionsTaken: 30.0 (0.0)
tilesExplored: 30.0 (0.0)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;9.0;14.0;14.0;5.0;17.0;8.0;15.0;18.0;8.0;4.0;
monstersKilled;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;
treasuresCollected;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;
tilesExplored;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;

