hpRemaining: 28.3 (3.560586718193756)
monstersKilled: 1.3 (0.48304589153964794)
treasuresCollected: 1.1 (0.31622776601683794)
potionsDrunk: 0.0 (0.0)
actionsTaken: 49.8 (87.91131895268093)
tilesExplored: 22.4 (1.8973665961010275)
timesCompleted: 9
timesDied: 0
timesUncompleted: 1

hpRemaining;29.0;29.0;29.0;30.0;25.0;25.0;22.0;29.0;35.0;30.0;
monstersKilled;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;
treasuresCollected;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;22.0;22.0;22.0;22.0;22.0;300.0;22.0;22.0;22.0;22.0;
tilesExplored;23.0;23.0;23.0;23.0;23.0;17.0;23.0;23.0;23.0;23.0;

