hpRemaining: 30.3 (2.9078437983419185)
monstersKilled: 1.0 (0.0)
treasuresCollected: 0.0 (0.0)
potionsDrunk: 0.0 (0.0)
actionsTaken: 300.0 (0.0)
tilesExplored: 12.0 (0.0)
timesCompleted: 0
timesDied: 0
timesUncompleted: 10

hpRemaining;29.0;32.0;29.0;35.0;26.0;27.0;32.0;33.0;28.0;32.0;
monstersKilled;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
treasuresCollected;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;
tilesExplored;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;

