hpRemaining: 38.0 (6.324555320336759)
monstersKilled: 0.2 (0.6324555320336759)
treasuresCollected: 0.0 (0.0)
potionsDrunk: 0.0 (0.0)
actionsTaken: 272.4 (87.27886342064726)
tilesExplored: 3.4 (7.589466384404111)
timesCompleted: 1
timesDied: 0
timesUncompleted: 9

hpRemaining;40.0;40.0;40.0;40.0;20.0;40.0;40.0;40.0;40.0;40.0;
monstersKilled;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;
treasuresCollected;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;300.0;300.0;300.0;300.0;24.0;300.0;300.0;300.0;300.0;300.0;
tilesExplored;1.0;1.0;1.0;1.0;25.0;1.0;1.0;1.0;1.0;1.0;

